experiment_id,model,improved_features,log_target,training_seconds,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std,holdout_mae,holdout_rmse,holdout_r2,params
improved_ridge,ridge,True,True,0.695,777.9298032334212,20.42316346457472,1129.9519097554398,37.10822070234415,0.56726452755711,0.012641934829926456,719.8066254140451,1046.8617942809174,0.5967874592197986,{'alpha': 10.0}
improved_xgboost,xgboost,True,True,2.129,778.4859811425397,20.504908337670777,1131.353937711839,35.594027489153746,0.5661916765710596,0.011120308566028277,715.124227120662,1048.166270298609,0.5957819610724122,"{'n_estimators': 250, 'learning_rate': 0.04, 'max_depth': 4, 'subsample': 0.85, 'colsample_bytree': 0.85}"
improved_random_forest,random_forest,True,True,4.963,786.5218363217443,19.566243764919314,1146.0919291199102,30.940539886544734,0.5546380728667023,0.01345930431623978,724.4957971354423,1056.0109926705475,0.5897087939496095,"{'n_estimators': 180, 'max_depth': 10, 'min_samples_leaf': 3, 'n_jobs': -1}"
improved_hgb,hist_gradient_boosting,True,True,9.33,793.4131366085624,17.969040840755017,1153.2599077544749,32.98296971560262,0.549083502349364,0.013807032897282086,729.3042015526274,1067.6256065118312,0.5806339261496771,"{'max_iter': 250, 'learning_rate': 0.05, 'max_leaf_nodes': 31, 'l2_regularization': 0.1}"
baseline_ridge,ridge,False,True,0.174,799.3750229109755,16.744585762518575,1156.7175797020104,27.696101391363523,0.5459814345730138,0.02148709531944384,745.4138666599849,1084.945507581264,0.5669169543555691,{'alpha': 10.0}
